ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YBR105C	          304.50	         1048.20	          805.90	          701.70	          613.80	          662.90	          846.60
YBR106W	         6074.10	         4312.80	         4727.80	         3930.10	         4684.90	         4189.70	         4495.20
YBR107C	          241.15	            NULL	           88.00	            NULL	            NULL	            NULL	            NULL
YBR108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR109C	         2018.75	         4054.50	         2681.80	         2319.20	         2550.70	         2125.30	         2758.70
YBR110W	           53.85	          292.00	           93.40	           75.80	           77.00	           58.90	          157.30
YBR111C	          939.75	         2785.90	         1442.90	         1252.50	         1328.40	         1207.60	          975.80
YBR112C	          275.45	          182.50	            NULL	          116.10	            NULL	            NULL	          170.50
YBR113W	          204.50	            NULL	          374.10	          415.40	            NULL	            NULL	          556.60
YBR114W	            NULL	            NULL	            NULL	            NULL	            NULL	           25.40	            NULL
YBR115C	          533.25	          480.00	          484.70	          361.00	          507.10	          475.40	          599.70
YBR116C	            NULL	          194.90	            NULL	            NULL	            NULL	            NULL	            NULL
YBR117C	           10.50	          184.60	          120.40	           64.90	            NULL	            NULL	            NULL
YBR118W	        20062.45	        24739.30	        22725.60	        12544.50	        21040.60	        17825.20	        19906.40
YBR119W	          105.75	          201.10	          115.00	           83.40	          128.70	           78.70	           99.30
YBR120C	          121.95	          194.90	           74.50	           44.20	            NULL	           41.20	           72.80
YBR121C	         2452.05	         1168.10	         1019.20	          811.60	          875.70	          864.20	         1042.10
YBR122C	          287.85	          469.70	          239.10	          229.30	          280.70	          252.40	          228.50
YBR123C	          211.15	          110.20	           63.70	            NULL	           99.60	          128.00	            NULL
YBR124W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR125C	          221.30	          267.20	          174.30	          125.90	          170.80	          195.10	          202.00
YBR126C	          677.70	         3978.10	         2196.00	          622.20	          765.80	          751.70	         1027.20
YBR127C	         1217.00	         1345.80	          927.40	          726.70	         1082.70	          872.10	         1121.60
