ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YMR164C	          175.90	          490.60	          309.30	          152.10	            NULL	          195.60	          297.50
YMR165C	           66.85	          134.40	            NULL	           77.60	           71.30	            NULL	            NULL
YMR166C	           94.00	           55.60	            NULL	          106.70	           61.50	           51.90	          126.70
YMR167W	           38.60	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR168C	            NULL	            NULL	            NULL	           17.30	            NULL	           21.10	          109.20
YMR169C	            NULL	          556.80	          190.20	            NULL	            NULL	           13.40	           74.10
YMR170C	           41.90	            NULL	            NULL	           91.00	          103.90	          105.80	          148.00
YMR171C	           63.05	           14.70	            NULL	           59.00	          136.50	           59.60	          121.20
YMR172C-A	            NULL	            NULL	           50.10	           62.70	            NULL	            NULL	            NULL
YMR172W	           49.40	            NULL	            NULL	            9.10	           71.30	           19.80	           31.70
YMR173W	          243.15	         1212.40	          680.60	         1598.40	          231.00	          526.70	          656.50
YMR173W-A	         7498.60	        32035.70	        15702.00	        11033.20	        16326.10	        14038.90	         8952.00
YMR174C	           60.45	          216.40	            NULL	          138.00	            NULL	           72.40	          153.50
YMR175W	            NULL	            NULL	          162.20	            0.90	            NULL	            NULL	            NULL
YMR176W	           89.05	            NULL	          148.10	            NULL	            NULL	           84.00	          136.00
YMR177W	          301.10	          317.30	          190.20	          213.20	           90.80	          198.20	          280.90
YMR178W	          143.50	          307.80	            NULL	          158.80	          152.80	          258.50	          278.10
YMR179W	          135.15	            NULL	            NULL	           82.10	          100.60	          126.30	          141.50
YMR180C	           96.40	            NULL	            NULL	            NULL	            NULL	           53.20	            NULL
YMR181C	           88.95	          386.60	            NULL	          192.40	          110.40	          282.90	          286.40
YMR182C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR183C	          324.65	           65.10	          309.30	          132.00	          218.00	          161.00	          168.30
YMR184W	          391.00	          670.30	          365.30	          241.50	          436.40	          624.20	          540.20
YMR185W	           78.75	            NULL	            NULL	           23.20	           81.10	          101.90	           83.40
YMR186W	         2558.35	         1792.40	         1178.10	         2255.60	         2076.20	         1875.50	         2182.90
YMR187C	          100.45	            NULL	            NULL	           77.60	            NULL	           82.70	          138.70
