ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YIL124W	         1847.00	         2174.80	         3430.30	         6109.10	         5508.80	         6777.50
YIL125W	         1035.00	          591.10	          884.40	         2076.60	         1982.20	         2801.30
YIL126W	          339.00	          183.50	          214.00	            NULL	          319.80	          405.80
YIL127C	            NULL	          213.90	          214.00	          206.00	            NULL	            NULL
YIL128W	          169.00	          102.60	          352.00	          459.10	          415.30	          386.20
YIL129C	          682.00	          450.00	          711.00	         1445.50	         1158.60	         1328.20
YIL130W	          516.00	          116.80	          546.90	          359.10	          539.70	          853.50
YIL131C	          358.00	          147.30	          201.70	          154.90	          247.00	          427.80
YIL132C	           83.00	           33.90	            NULL	            NULL	            NULL	            NULL
YIL133C	        17789.00	        12257.00	        10197.50	        11565.70	        18738.30	        32521.40
YIL134W	          152.00	          127.50	          123.40	          178.80	          362.20	          344.60
YIL135C	          569.00	          650.60	         1600.10	         1683.40	         1105.50	         1448.10
YIL136W	            NULL	          245.80	         2764.50	         4872.80	         1326.90	         1448.10
YIL137C	            NULL	           65.10	          137.30	          245.10	            NULL	          364.20
YIL138C	          126.00	          287.00	          635.90	          334.10	          389.50	          498.70
YIL139C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL140W	          346.00	          132.40	          255.40	          303.70	          269.70	          623.50
YIL141W	          334.00	            NULL	          179.40	          124.50	          371.30	          312.80
YIL142W	         2890.00	         1654.50	         1753.50	         2290.60	         1989.80	         1609.60
YIL143C	          227.00	           98.40	          283.00	          291.80	          169.60	            NULL
YIL144W	            NULL	            NULL	          141.90	            NULL	            NULL	            NULL
YIL145C	          501.00	           96.30	          121.90	            NULL	            NULL	            NULL
YIL146C	          109.00	            NULL	            NULL	          184.20	          231.80	            NULL
YIL147C	          700.00	          272.80	          419.50	          224.40	          615.50	          917.20
YIL148W	         4200.00	         2262.70	         4100.00	            NULL	         3806.90	         1822.50
YIL149C	          556.00	          153.70	          437.20	          624.20	          530.60	          721.40
YIL150C	           56.00	            NULL	            NULL	            NULL	            NULL	            NULL
YIL151C	           41.00	            NULL	           58.20	          173.40	            NULL	            NULL
YIL152W	          507.00	          237.30	          762.40	          765.40	          495.70	          271.20
YIL153W	          785.00	           67.20	          164.90	          307.00	          274.30	           99.90
YIL154C	          607.00	            0.00	          152.60	          435.20	            NULL	            NULL
YIL155C	          131.00	            NULL	          645.10	          736.10	          791.50	          285.90
YIL156W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL157C	          734.00	          559.20	          787.00	         1335.70	         1093.30	         1470.20
YIL158W	         1389.00	          718.00	          424.10	            NULL	          897.70	         2101.50
YIL159W	          537.00	            NULL	           32.20	            NULL	           98.30	            NULL
YIL160C	            NULL	            NULL	          287.60	          817.60	            NULL	          334.80
YIL161W	          317.00	          212.50	          449.50	          676.30	          600.40	          704.30
YIL162W	          411.00	          121.10	          266.90	          203.80	            NULL	          374.00
YIL163C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL164C	            NULL	          116.80	          424.10	          770.80	            NULL	            NULL
YIL165C	          245.00	          126.70	          431.00	          664.40	          386.50	          528.10
YIL166C	            NULL	            NULL	          272.30	          479.70	            NULL	          386.20
YIL167W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL168W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL169C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL170W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL171W	          676.00	          512.40	          312.10	          766.50	            NULL	         1692.80
YIL172C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL173W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL175W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIL176C	          900.00	          432.30	         1060.00	         1128.30	            NULL	            NULL
YIL177C	         1780.00	          704.50	         1495.70	         1350.90	          972.00	         1457.90
YIR001C	            NULL	          149.40	          260.00	          136.40	            NULL	            NULL
YIR002C	           79.00	          188.40	          571.40	          433.00	            NULL	          430.20
YIR003W	          356.00	          258.60	          625.10	          757.80	          425.90	          630.90
YIR004W	          244.00	          175.00	          679.60	          693.70	          327.30	          672.50
YIR005W	            NULL	            NULL	          351.30	          442.80	          392.60	          577.00
YIR006C	         1748.00	          241.60	          446.40	          854.50	          912.80	         1049.30
YIR007W	          102.00	           33.90	          214.00	          270.10	            NULL	          276.10
YIR008C	          196.00	          238.80	          648.90	          697.00	          345.60	          670.00
YIR009W	            NULL	            NULL	          250.00	          238.50	            NULL	            NULL
YIR010W	          489.00	          704.50	         1606.20	         1550.80	          515.40	          611.30
YIR011C	         1024.00	          869.00	         2068.00	         2317.80	         1510.50	         1159.40
YIR012W	         1804.00	          562.00	          495.50	          644.80	          750.50	          860.90
YIR013C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIR014W	            NULL	           50.90	          340.50	          337.40	          166.60	            NULL
