ORF	     Sorbitol 0m	    Sorbitol 15m	    Sorbitol 30m	    Sorbitol 45m	    Sorbitol 90m	   Sorbitol 120m
YJR148W	         2434.00	          842.40	         1059.30	         2011.30	          670.20	         1331.70
YJR149W	          148.00	            NULL	          459.70	          312.50	            NULL	          234.00
YJR150C	          488.00	            NULL	            NULL	          182.20	            NULL	          239.20
YJR151C	          450.00	            NULL	          328.70	          547.20	            NULL	          444.40
YJR152W	          325.00	            NULL	            NULL	          364.00	          238.40	          394.60
YJR153W	           91.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR154W	           42.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR155W	          209.00	          135.10	          295.50	          343.70	          210.40	            NULL
YJR156C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR157W	            NULL	            NULL	            NULL	            NULL	            NULL	           87.80
YJR158W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR159W	          281.00	            NULL	            NULL	          164.50	            NULL	            NULL
YJR160C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR161C	            NULL	            NULL	            NULL	          464.40	          291.90	          369.80
YJR162C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL001C	          910.00	          353.00	          419.10	            NULL	            NULL	            NULL
YKL002W	          661.00	          224.70	          485.50	            NULL	            NULL	          244.30
YKL003C	         2198.00	          940.20	         1483.60	         1392.60	         1771.20	         1517.30
YKL004W	         3126.00	          797.10	          716.10	          942.10	         2223.90	         1742.20
YKL005C	          481.00	            NULL	            NULL	            NULL	            NULL	          407.10
YKL006C-A	          483.00	            NULL	            NULL	          415.60	          539.80	          505.60
YKL006W	         7909.00	         2941.00	         2398.70	         2305.80	         3678.70	         5060.40
YKL007W	          806.00	          576.50	          895.10	          813.20	          651.50	          808.30
YKL008C	         1905.00	         1002.10	         1122.00	          914.90	         2107.50	         1736.00
YKL009W	         6268.00	         1191.40	          633.10	         2738.70	         4921.70	         4411.50
YKL010C	          375.00	          197.90	          448.60	          506.50	          295.40	          503.50
YKL011C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL012W	          216.00	            NULL	            NULL	          342.30	            NULL	            NULL
YKL013C	          261.00	          149.90	          380.40	          377.60	            NULL	          131.30
YKL014C	          454.00	            NULL	            NULL	          343.70	          436.20	          389.50
YKL015W	          182.00	            NULL	          144.20	          212.00	            NULL	            NULL
YKL016C	         1006.00	          418.60	         1734.50	         2153.80	         1145.00	         1164.80
YKL017C	          303.00	            NULL	            NULL	          275.80	            NULL	          168.70
YKL018W	          220.00	          130.50	          441.20	          617.80	          271.00	          279.60
YKL019W	         1083.00	          986.40	         1409.80	         1583.90	          852.90	         1151.40
YKL020C	          341.00	          293.00	          677.40	          407.40	            NULL	          409.20
YKL021C	          134.00	            NULL	            NULL	            NULL	            NULL	          145.90
YKL022C	          175.00	            NULL	          385.90	          324.70	          266.30	          275.40
YKL023W	            NULL	            NULL	            NULL	          361.30	          293.10	          242.30
YKL024C	         3223.00	         1738.00	         2136.70	         3824.20	         2710.40	         2905.30
YKL025C	          203.00	          419.50	          585.10	          570.30	          518.90	          408.10
YKL026C	          223.00	          527.50	         1481.80	         1592.00	            NULL	          470.30
YKL027W	          400.00	          185.00	          380.40	          737.20	          332.60	          547.00
YKL028W	         1586.00	         1147.10	         1915.40	         2980.20	         1346.40	         1550.50
YKL029C	         2457.00	          387.20	          415.40	         2379.10	         2443.90	         2361.10
YKL030W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL031W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL032C	         1658.00	          986.40	         1107.30	         1152.40	         1169.50	         1330.70
YKL033W	          310.00	            NULL	            NULL	          345.00	            NULL	            NULL
YKL033W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL034W	          376.00	            NULL	          533.50	          328.70	            NULL	          277.50
YKL035W	         4297.00	         3158.90	         8461.20	         7736.30	         4057.00	         5249.10
YKL036C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL037W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL038W	          245.00	          116.60	          424.60	            NULL	            NULL	          210.10
YKL039W	          833.00	          370.60	         1612.80	          574.30	          595.70	          913.00
YKL040C	          525.00	          246.80	            NULL	          182.20	            NULL	          345.90
YKL041W	          240.00	            NULL	            NULL	          208.00	            NULL	          178.00
YKL042W	          283.00	            NULL	            NULL	            NULL	            NULL	            NULL
YKL043W	          828.00	          245.90	          533.50	            NULL	          360.60	          430.90
